n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_min_std,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Max Strus OVER REB 2.5 (GOBLIN) [id:11863469] | Jake LaRavia OVER REB 2.5 (STANDARD) [id:11863295] | Isaiah Joe OVER FG3M 1.5 (STANDARD) [id:11870474] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0.2768932799895931,10.0,1.0,10.0,2.768932799895931,10.0,atlas,0.7320087036857956,0.00256277027467534,Max Strus OVER REB 2.5 (GOBLIN) [id:11863469] | Jake LaRavia OVER REB 2.5 (STANDARD) [id:11863295] | Isaiah Joe OVER FG3M 1.5 (STANDARD) [id:11870474] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.42689327998959314,"['max strus', 'jake laravia', 'isaiah joe', 'jaylon tyson']",1,Max Strus OVER REB 2.5 (GOBLIN) [id:11863469],Jake LaRavia OVER REB 2.5 (STANDARD) [id:11863295],Isaiah Joe OVER FG3M 1.5 (STANDARD) [id:11870474],Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0,
4,Max Strus OVER REB 2.5 (GOBLIN) [id:11863469] | Isaiah Joe OVER FG3M 1.5 (STANDARD) [id:11870474] | Jake LaRavia OVER REB 2.5 (STANDARD) [id:11863295] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0.27689327998959307,10.0,1.0,10.0,2.7689327998959308,10.0,atlas,0.7320087036857956,0.00256277027467534,Max Strus OVER REB 2.5 (GOBLIN) [id:11863469] | Isaiah Joe OVER FG3M 1.5 (STANDARD) [id:11870474] | Jake LaRavia OVER REB 2.5 (STANDARD) [id:11863295] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.42689327998959303,"['max strus', 'isaiah joe', 'jake laravia', 'jaylon tyson']",1,Max Strus OVER REB 2.5 (GOBLIN) [id:11863469],Isaiah Joe OVER FG3M 1.5 (STANDARD) [id:11870474],Jake LaRavia OVER REB 2.5 (STANDARD) [id:11863295],Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0,
4,Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382] | Jake LaRavia OVER REB 2.5 (STANDARD) [id:11863295] | Isaiah Joe OVER FG3M 1.5 (STANDARD) [id:11870474] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0.271315477028172,10.0,1.0,10.0,2.71315477028172,10.0,atlas,0.7275480062910931,0.0021434206461513404,Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382] | Jake LaRavia OVER REB 2.5 (STANDARD) [id:11863295] | Isaiah Joe OVER FG3M 1.5 (STANDARD) [id:11870474] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.42131547702817196,"['dean wade', 'jake laravia', 'isaiah joe', 'jaylon tyson']",1,Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382],Jake LaRavia OVER REB 2.5 (STANDARD) [id:11863295],Isaiah Joe OVER FG3M 1.5 (STANDARD) [id:11870474],Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0,
4,Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382] | Isaiah Joe OVER FG3M 1.5 (STANDARD) [id:11870474] | Jake LaRavia OVER REB 2.5 (STANDARD) [id:11863295] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0.271315477028172,10.0,1.0,10.0,2.71315477028172,10.0,atlas,0.7275480062910933,0.0021434206461513404,Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382] | Isaiah Joe OVER FG3M 1.5 (STANDARD) [id:11870474] | Jake LaRavia OVER REB 2.5 (STANDARD) [id:11863295] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.42131547702817196,"['dean wade', 'isaiah joe', 'jake laravia', 'jaylon tyson']",1,Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382],Isaiah Joe OVER FG3M 1.5 (STANDARD) [id:11870474],Jake LaRavia OVER REB 2.5 (STANDARD) [id:11863295],Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0,
4,Max Strus OVER REB 2.5 (GOBLIN) [id:11863469] | Marcus Smart OVER RA 5.5 (STANDARD) [id:11832711] | Isaiah Joe OVER FG3M 1.5 (STANDARD) [id:11870474] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0.268336006307818,10.0,1.0,10.0,2.68336006307818,10.0,atlas,0.7268168963227382,0.01647189527876575,Max Strus OVER REB 2.5 (GOBLIN) [id:11863469] | Marcus Smart OVER RA 5.5 (STANDARD) [id:11832711] | Isaiah Joe OVER FG3M 1.5 (STANDARD) [id:11870474] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.418336006307818,"['max strus', 'marcus smart', 'isaiah joe', 'jaylon tyson']",1,Max Strus OVER REB 2.5 (GOBLIN) [id:11863469],Marcus Smart OVER RA 5.5 (STANDARD) [id:11832711],Isaiah Joe OVER FG3M 1.5 (STANDARD) [id:11870474],Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0,
4,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:11868675] | Sam Merrill OVER PA 7.5 (STANDARD) [id:11866436] | Austin Reaves UNDER PTS 20.5 (STANDARD) [id:11832813] | Max Strus OVER REB 4.5 (DEMON) [id:11863470],0.17939366922711103,10.0,1.0,10.0,1.7939366922711102,10.0,atlas,0.6593585102054271,0.07351056178687213,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:11868675] | Sam Merrill OVER PA 7.5 (STANDARD) [id:11866436] | Austin Reaves UNDER PTS 20.5 (STANDARD) [id:11832813] | Max Strus OVER REB 4.5 (DEMON) [id:11863470],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.329393669227111,"['shai gilgeous-alexander', 'sam merrill', 'austin reaves', 'max strus']",1,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:11868675],Sam Merrill OVER PA 7.5 (STANDARD) [id:11866436],Austin Reaves UNDER PTS 20.5 (STANDARD) [id:11832813],Max Strus OVER REB 4.5 (DEMON) [id:11863470],0,
4,Jaylin Williams OVER PTS 0.5 (GOBLIN) [id:11883464] | Tobias Harris OVER PR 22.5 (STANDARD) [id:11862152] | Cade Cunningham UNDER PR 33.5 (STANDARD) [id:11861983] | Jake LaRavia OVER RA 3.5 (DEMON) [id:11870379],0.1755306175830671,10.0,1.0,10.0,1.755306175830671,10.0,atlas,0.6555750087432226,0.026602672078268916,Jaylin Williams OVER PTS 0.5 (GOBLIN) [id:11883464] | Tobias Harris OVER PR 22.5 (STANDARD) [id:11862152] | Cade Cunningham UNDER PR 33.5 (STANDARD) [id:11861983] | Jake LaRavia OVER RA 3.5 (DEMON) [id:11870379],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.3255306175830671,"['jaylin williams', 'tobias harris', 'cade cunningham', 'jake laravia']",1,Jaylin Williams OVER PTS 0.5 (GOBLIN) [id:11883464],Tobias Harris OVER PR 22.5 (STANDARD) [id:11862152],Cade Cunningham UNDER PR 33.5 (STANDARD) [id:11861983],Jake LaRavia OVER RA 3.5 (DEMON) [id:11870379],0,
4,Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382] | Austin Reaves UNDER PR 25.5 (STANDARD) [id:11832663] | Cade Cunningham UNDER PRA 43.5 (STANDARD) [id:11861986] | Marcus Smart OVER RA 6.5 (DEMON) [id:11832580],0.1731333279711147,10.0,1.0,10.0,1.731333279711147,10.0,atlas,0.655407881156151,0.11491756405604762,Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382] | Austin Reaves UNDER PR 25.5 (STANDARD) [id:11832663] | Cade Cunningham UNDER PRA 43.5 (STANDARD) [id:11861986] | Marcus Smart OVER RA 6.5 (DEMON) [id:11832580],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.1731333279711147,"['dean wade', 'austin reaves', 'cade cunningham', 'marcus smart']",1,Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382],Austin Reaves UNDER PR 25.5 (STANDARD) [id:11832663],Cade Cunningham UNDER PRA 43.5 (STANDARD) [id:11861986],Marcus Smart OVER RA 6.5 (DEMON) [id:11832580],0,
4,Alex Caruso OVER REB 1.5 (GOBLIN) [id:11863285] | Max Strus OVER REB 4 (STANDARD) [id:11867231] | Duncan Robinson OVER RA 4.5 (STANDARD) [id:11864274] | Ausar Thompson OVER AST 3.5 (DEMON) [id:11861949],0.17121128449239215,10.0,1.0,10.0,1.7121128449239214,10.0,atlas,0.6509915317101733,0.011929937690451371,Alex Caruso OVER REB 1.5 (GOBLIN) [id:11863285] | Max Strus OVER REB 4 (STANDARD) [id:11867231] | Duncan Robinson OVER RA 4.5 (STANDARD) [id:11864274] | Ausar Thompson OVER AST 3.5 (DEMON) [id:11861949],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.3212112844923921,"['alex caruso', 'max strus', 'duncan robinson', 'ausar thompson']",1,Alex Caruso OVER REB 1.5 (GOBLIN) [id:11863285],Max Strus OVER REB 4 (STANDARD) [id:11867231],Duncan Robinson OVER RA 4.5 (STANDARD) [id:11864274],Ausar Thompson OVER AST 3.5 (DEMON) [id:11861949],0,
4,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:11868675] | Jaylin Williams OVER PA 4.5 (STANDARD) [id:11883993] | Sam Merrill OVER PRA 9.5 (STANDARD) [id:11863697] | Deandre Ayton OVER REB 8.5 (DEMON) [id:11867235],0.17075130115080828,10.0,1.0,10.0,1.7075130115080828,10.0,atlas,0.6523510968147416,0.017454089246894948,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:11868675] | Jaylin Williams OVER PA 4.5 (STANDARD) [id:11883993] | Sam Merrill OVER PRA 9.5 (STANDARD) [id:11863697] | Deandre Ayton OVER REB 8.5 (DEMON) [id:11867235],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5,0.47075130115080827,"['shai gilgeous-alexander', 'jaylin williams', 'sam merrill', 'deandre ayton']",1,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:11868675],Jaylin Williams OVER PA 4.5 (STANDARD) [id:11883993],Sam Merrill OVER PRA 9.5 (STANDARD) [id:11863697],Deandre Ayton OVER REB 8.5 (DEMON) [id:11867235],0,
