n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_min_std,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Jakob Poeltl OVER AST 0.5 (GOBLIN) [id:11829865] | Max Strus OVER REB 2.5 (GOBLIN) [id:11841985] | Desmond Bane UNDER PR 23.5 (STANDARD) [id:11823461] | Donovan Mitchell OVER REB 4 (STANDARD) [id:11842598] | Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0.2090243132546289,20.0,1.0,20.0,4.180486265092577,20.0,atlas,0.7399551297086437,0.05607331466896128,Jakob Poeltl OVER AST 0.5 (GOBLIN) [id:11829865] | Max Strus OVER REB 2.5 (GOBLIN) [id:11841985] | Desmond Bane UNDER PR 23.5 (STANDARD) [id:11823461] | Donovan Mitchell OVER REB 4 (STANDARD) [id:11842598] | Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.3590243132546289,"['jakob poeltl', 'max strus', 'desmond bane', 'donovan mitchell', 'sandro mamukelashvili']",1,Jakob Poeltl OVER AST 0.5 (GOBLIN) [id:11829865],Max Strus OVER REB 2.5 (GOBLIN) [id:11841985],Desmond Bane UNDER PR 23.5 (STANDARD) [id:11823461],Donovan Mitchell OVER REB 4 (STANDARD) [id:11842598],Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0,
5,Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11824332] | Max Strus OVER REB 2.5 (GOBLIN) [id:11841985] | Brandon Ingram UNDER PTS 16.5 (STANDARD) [id:11829268] | Desmond Bane UNDER PRA 26.5 (STANDARD) [id:11823466] | Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0.1918550149598172,20.0,1.0,20.0,3.8371002991963437,20.0,atlas,0.7314113330277883,0.0962090442536125,Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11824332] | Max Strus OVER REB 2.5 (GOBLIN) [id:11841985] | Brandon Ingram UNDER PTS 16.5 (STANDARD) [id:11829268] | Desmond Bane UNDER PRA 26.5 (STANDARD) [id:11823466] | Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.3418550149598172,"['donovan mitchell', 'max strus', 'brandon ingram', 'desmond bane', 'sandro mamukelashvili']",1,Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11824332],Max Strus OVER REB 2.5 (GOBLIN) [id:11841985],Brandon Ingram UNDER PTS 16.5 (STANDARD) [id:11829268],Desmond Bane UNDER PRA 26.5 (STANDARD) [id:11823466],Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0,
5,Max Strus OVER REB 2.5 (GOBLIN) [id:11841985] | Jakob Poeltl OVER AST 0.5 (GOBLIN) [id:11829865] | Anthony Black UNDER PRA 17.5 (STANDARD) [id:11823934] | Sam Merrill OVER PRA 8.5 (STANDARD) [id:11832649] | Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0.19067554474982826,20.0,1.0,20.0,3.8135108949965653,20.0,atlas,0.7277305144246043,0.05980011853123888,Max Strus OVER REB 2.5 (GOBLIN) [id:11841985] | Jakob Poeltl OVER AST 0.5 (GOBLIN) [id:11829865] | Anthony Black UNDER PRA 17.5 (STANDARD) [id:11823934] | Sam Merrill OVER PRA 8.5 (STANDARD) [id:11832649] | Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.34067554474982825,"['max strus', 'jakob poeltl', 'anthony black', 'sam merrill', 'sandro mamukelashvili']",1,Max Strus OVER REB 2.5 (GOBLIN) [id:11841985],Jakob Poeltl OVER AST 0.5 (GOBLIN) [id:11829865],Anthony Black UNDER PRA 17.5 (STANDARD) [id:11823934],Sam Merrill OVER PRA 8.5 (STANDARD) [id:11832649],Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0,
5,Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11824332] | Jamal Shead OVER FG3M 0.5 (GOBLIN) [id:11824430] | Sam Merrill OVER PA 6.5 (STANDARD) [id:11835005] | Anthony Black UNDER AST 2.5 (STANDARD) [id:11828581] | Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0.182895918786697,20.0,1.0,20.0,3.65791837573394,20.0,atlas,0.7191420630196135,0.07372297295894564,Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11824332] | Jamal Shead OVER FG3M 0.5 (GOBLIN) [id:11824430] | Sam Merrill OVER PA 6.5 (STANDARD) [id:11835005] | Anthony Black UNDER AST 2.5 (STANDARD) [id:11828581] | Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.332895918786697,"['donovan mitchell', 'jamal shead', 'sam merrill', 'anthony black', 'sandro mamukelashvili']",1,Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11824332],Jamal Shead OVER FG3M 0.5 (GOBLIN) [id:11824430],Sam Merrill OVER PA 6.5 (STANDARD) [id:11835005],Anthony Black UNDER AST 2.5 (STANDARD) [id:11828581],Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0,
5,Max Strus OVER REB 2.5 (GOBLIN) [id:11841985] | Dean Wade OVER REB 2.5 (GOBLIN) [id:11829307] | Cade Cunningham UNDER PA 37.5 (STANDARD) [id:11823412] | Anthony Black UNDER RA 6 (STANDARD) [id:11850047] | Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0.17978972855556666,20.0,1.0,20.0,3.595794571111333,20.0,atlas,0.71727939567474,0.1151799921868499,Max Strus OVER REB 2.5 (GOBLIN) [id:11841985] | Dean Wade OVER REB 2.5 (GOBLIN) [id:11829307] | Cade Cunningham UNDER PA 37.5 (STANDARD) [id:11823412] | Anthony Black UNDER RA 6 (STANDARD) [id:11850047] | Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.32978972855556665,"['max strus', 'dean wade', 'cade cunningham', 'anthony black', 'sandro mamukelashvili']",1,Max Strus OVER REB 2.5 (GOBLIN) [id:11841985],Dean Wade OVER REB 2.5 (GOBLIN) [id:11829307],Cade Cunningham UNDER PA 37.5 (STANDARD) [id:11823412],Anthony Black UNDER RA 6 (STANDARD) [id:11850047],Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0,
5,Jakob Poeltl OVER AST 0.5 (GOBLIN) [id:11829865] | Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:11823475] | Dean Wade OVER REB 3.5 (STANDARD) [id:11833333] | Anthony Black UNDER AST 2.5 (STANDARD) [id:11828581] | Donovan Mitchell OVER REB 4.5 (DEMON) [id:11824330],0.15112449265550065,20.0,1.0,20.0,3.022489853110013,20.0,atlas,0.693501070542704,0.08498511338831805,Jakob Poeltl OVER AST 0.5 (GOBLIN) [id:11829865] | Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:11823475] | Dean Wade OVER REB 3.5 (STANDARD) [id:11833333] | Anthony Black UNDER AST 2.5 (STANDARD) [id:11828581] | Donovan Mitchell OVER REB 4.5 (DEMON) [id:11824330],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.3011244926555007,"['jakob poeltl', 'duncan robinson', 'dean wade', 'anthony black', 'donovan mitchell']",1,Jakob Poeltl OVER AST 0.5 (GOBLIN) [id:11829865],Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:11823475],Dean Wade OVER REB 3.5 (STANDARD) [id:11833333],Anthony Black UNDER AST 2.5 (STANDARD) [id:11828581],Donovan Mitchell OVER REB 4.5 (DEMON) [id:11824330],0,
5,Desmond Bane OVER REB 2.5 (GOBLIN) [id:11824836] | Jakob Poeltl OVER AST 0.5 (GOBLIN) [id:11829865] | Sam Merrill OVER PTS 5.5 (STANDARD) [id:11825295] | Cade Cunningham UNDER PA 37.5 (STANDARD) [id:11823412] | Donovan Mitchell OVER REB 4.5 (DEMON) [id:11824330],0.14774803994810035,20.0,1.0,20.0,2.954960798962007,20.0,atlas,0.6923030118844505,0.09070671974313929,Desmond Bane OVER REB 2.5 (GOBLIN) [id:11824836] | Jakob Poeltl OVER AST 0.5 (GOBLIN) [id:11829865] | Sam Merrill OVER PTS 5.5 (STANDARD) [id:11825295] | Cade Cunningham UNDER PA 37.5 (STANDARD) [id:11823412] | Donovan Mitchell OVER REB 4.5 (DEMON) [id:11824330],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.29774803994810034,"['desmond bane', 'jakob poeltl', 'sam merrill', 'cade cunningham', 'donovan mitchell']",1,Desmond Bane OVER REB 2.5 (GOBLIN) [id:11824836],Jakob Poeltl OVER AST 0.5 (GOBLIN) [id:11829865],Sam Merrill OVER PTS 5.5 (STANDARD) [id:11825295],Cade Cunningham UNDER PA 37.5 (STANDARD) [id:11823412],Donovan Mitchell OVER REB 4.5 (DEMON) [id:11824330],0,
5,Desmond Bane OVER REB 2.5 (GOBLIN) [id:11824836] | Dean Wade OVER REB 2.5 (GOBLIN) [id:11829307] | Wendell Carter UNDER RA 9.5 (STANDARD) [id:11833712] | Brandon Ingram UNDER REB 4 (STANDARD) [id:11849991] | Sam Merrill OVER PRA 9.5 (DEMON) [id:11835379],0.10970100028290834,20.0,1.0,20.0,2.194020005658167,20.0,atlas,0.6541600865595888,0.06970478001792532,Desmond Bane OVER REB 2.5 (GOBLIN) [id:11824836] | Dean Wade OVER REB 2.5 (GOBLIN) [id:11829307] | Wendell Carter UNDER RA 9.5 (STANDARD) [id:11833712] | Brandon Ingram UNDER REB 4 (STANDARD) [id:11849991] | Sam Merrill OVER PRA 9.5 (DEMON) [id:11835379],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,0.40970100028290835,"['desmond bane', 'dean wade', 'wendell carter', 'brandon ingram', 'sam merrill']",1,Desmond Bane OVER REB 2.5 (GOBLIN) [id:11824836],Dean Wade OVER REB 2.5 (GOBLIN) [id:11829307],Wendell Carter UNDER RA 9.5 (STANDARD) [id:11833712],Brandon Ingram UNDER REB 4 (STANDARD) [id:11849991],Sam Merrill OVER PRA 9.5 (DEMON) [id:11835379],0,
5,Paolo Banchero OVER AST 3.5 (GOBLIN) [id:11823947] | James Harden OVER FG3M 1.5 (GOBLIN) [id:11824460] | Brandon Ingram UNDER PTS 16.5 (STANDARD) [id:11829268] | Desmond Bane UNDER RA 7 (STANDARD) [id:11825288] | Sam Merrill OVER PRA 9.5 (DEMON) [id:11835379],0.10601497253674863,20.0,1.0,20.0,2.1202994507349726,20.0,atlas,0.6449549464296065,0.10489865034501604,Paolo Banchero OVER AST 3.5 (GOBLIN) [id:11823947] | James Harden OVER FG3M 1.5 (GOBLIN) [id:11824460] | Brandon Ingram UNDER PTS 16.5 (STANDARD) [id:11829268] | Desmond Bane UNDER RA 7 (STANDARD) [id:11825288] | Sam Merrill OVER PRA 9.5 (DEMON) [id:11835379],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,0.4060149725367486,"['paolo banchero', 'james harden', 'brandon ingram', 'desmond bane', 'sam merrill']",1,Paolo Banchero OVER AST 3.5 (GOBLIN) [id:11823947],James Harden OVER FG3M 1.5 (GOBLIN) [id:11824460],Brandon Ingram UNDER PTS 16.5 (STANDARD) [id:11829268],Desmond Bane UNDER RA 7 (STANDARD) [id:11825288],Sam Merrill OVER PRA 9.5 (DEMON) [id:11835379],0,
5,Evan Mobley OVER RA 8.5 (GOBLIN) [id:11843104] | Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:11823475] | Paolo Banchero UNDER RA 14 (STANDARD) [id:11823948] | Tobias Harris UNDER PR 24.5 (STANDARD) [id:11823644] | Dennis Schröder OVER REB 1.5 (DEMON) [id:11829336],0.09635867658496323,20.0,1.0,20.0,1.9271735316992646,20.0,atlas,0.6348635925892976,0.07205216095101882,Evan Mobley OVER RA 8.5 (GOBLIN) [id:11843104] | Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:11823475] | Paolo Banchero UNDER RA 14 (STANDARD) [id:11823948] | Tobias Harris UNDER PR 24.5 (STANDARD) [id:11823644] | Dennis Schröder OVER REB 1.5 (DEMON) [id:11829336],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.24635867658496324,"['evan mobley', 'duncan robinson', 'paolo banchero', 'tobias harris', 'dennis schröder']",1,Evan Mobley OVER RA 8.5 (GOBLIN) [id:11843104],Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:11823475],Paolo Banchero UNDER RA 14 (STANDARD) [id:11823948],Tobias Harris UNDER PR 24.5 (STANDARD) [id:11823644],Dennis Schröder OVER REB 1.5 (DEMON) [id:11829336],0,
