n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144] | Cam Spencer OVER AST 3.5 (GOBLIN) [id:10109798] | Moses Moody UNDER PTS 17.5 (STANDARD) [id:10109964] | Evan Mobley OVER PRA 20.5 (STANDARD) [id:10111149],0.5118517716433929,10.0,1.0,10.0,5.118517716433929,10.0,atlas,0.8483265776130825,0.06396477156318148,Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144] | Cam Spencer OVER AST 3.5 (GOBLIN) [id:10109798] | Moses Moody UNDER PTS 17.5 (STANDARD) [id:10109964] | Evan Mobley OVER PRA 20.5 (STANDARD) [id:10111149],0.01,0.054,0.0006396477156318148,0.06463964771563181,51.12053751662366,"['scotty pippen', 'cam spencer', 'moses moody', 'evan mobley']",1,Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144],Cam Spencer OVER AST 3.5 (GOBLIN) [id:10109798],Moses Moody UNDER PTS 17.5 (STANDARD) [id:10109964],Evan Mobley OVER PRA 20.5 (STANDARD) [id:10111149],0,
4,Ronald Holland OVER PA 4.5 (GOBLIN) [id:10123209] | Cam Spencer OVER PRA 14.5 (GOBLIN) [id:10111599] | Dorian Finney-Smith UNDER PTS 5.5 (STANDARD) [id:10100799] | Isaiah Joe UNDER AST 2.5 (STANDARD) [id:10110943],0.47747336205055396,10.0,1.0,10.0,4.77473362050554,10.0,atlas,0.8327875331039245,0.0665517115332313,Ronald Holland OVER PA 4.5 (GOBLIN) [id:10123209] | Cam Spencer OVER PRA 14.5 (GOBLIN) [id:10111599] | Dorian Finney-Smith UNDER PTS 5.5 (STANDARD) [id:10100799] | Isaiah Joe UNDER AST 2.5 (STANDARD) [id:10110943],0.0,0.054,0.000665517115332313,0.05466551711533231,47.692670687940065,"['ronald holland', 'cam spencer', 'dorian finney-smith', 'isaiah joe']",1,Ronald Holland OVER PA 4.5 (GOBLIN) [id:10123209],Cam Spencer OVER PRA 14.5 (GOBLIN) [id:10111599],Dorian Finney-Smith UNDER PTS 5.5 (STANDARD) [id:10100799],Isaiah Joe UNDER AST 2.5 (STANDARD) [id:10110943],0,
4,Ronald Holland OVER PA 4.5 (GOBLIN) [id:10123209] | Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144] | Al Horford UNDER PA 14.5 (STANDARD) [id:10109746] | Dorian Finney-Smith UNDER PRA 10.5 (STANDARD) [id:10100801],0.47019410739737105,10.0,1.0,10.0,4.70194107397371,10.0,atlas,0.8357028485291493,0.08266692701690136,Ronald Holland OVER PA 4.5 (GOBLIN) [id:10123209] | Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144] | Al Horford UNDER PA 14.5 (STANDARD) [id:10109746] | Dorian Finney-Smith UNDER PRA 10.5 (STANDARD) [id:10100801],0.0,0.054,0.0008266692701690136,0.054826669270169014,46.964584070466934,"['ronald holland', 'scotty pippen', 'al horford', 'dorian finney-smith']",1,Ronald Holland OVER PA 4.5 (GOBLIN) [id:10123209],Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144],Al Horford UNDER PA 14.5 (STANDARD) [id:10109746],Dorian Finney-Smith UNDER PRA 10.5 (STANDARD) [id:10100801],0,
4,Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144] | Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10108622] | Evan Mobley OVER PRA 20.5 (STANDARD) [id:10111149] | GG Jackson UNDER PRA 22.5 (STANDARD) [id:10109885],0.44720384068496577,10.0,1.0,10.0,4.4720384068496575,10.0,atlas,0.8233770334286847,0.08119560513087501,Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144] | Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10108622] | Evan Mobley OVER PRA 20.5 (STANDARD) [id:10111149] | GG Jackson UNDER PRA 22.5 (STANDARD) [id:10109885],0.01,0.054,0.0008119560513087501,0.06481195605130875,44.65557211244527,"['scotty pippen', 'duncan robinson', 'evan mobley', 'gg jackson']",1,Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144],Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10108622],Evan Mobley OVER PRA 20.5 (STANDARD) [id:10111149],GG Jackson UNDER PRA 22.5 (STANDARD) [id:10109885],0,
4,RJ Barrett OVER FG3M 0.5 (GOBLIN) [id:10108921] | Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10114884] | Dorian Finney-Smith UNDER PTS 5.5 (STANDARD) [id:10100799] | De'Anthony Melton UNDER PA 22.5 (STANDARD) [id:10109832],0.44034211399170353,10.0,1.0,10.0,4.403421139917035,10.0,atlas,0.8161243641754204,0.06626837994504474,RJ Barrett OVER FG3M 0.5 (GOBLIN) [id:10108921] | Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10114884] | Dorian Finney-Smith UNDER PTS 5.5 (STANDARD) [id:10100799] | De'Anthony Melton UNDER PA 22.5 (STANDARD) [id:10109832],0.0,0.024,0.0006626837994504474,0.024662683799450448,44.009548715370904,"['rj barrett', 'jonas valančiūnas', 'dorian finney-smith', ""de'anthony melton""]",1,RJ Barrett OVER FG3M 0.5 (GOBLIN) [id:10108921],Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10114884],Dorian Finney-Smith UNDER PTS 5.5 (STANDARD) [id:10100799],De'Anthony Melton UNDER PA 22.5 (STANDARD) [id:10109832],0,
4,Reed Sheppard OVER PTS 9.5 (GOBLIN) [id:10105433] | Scotty Pippen OVER PR 9.5 (GOBLIN) [id:10112948] | Tim Hardaway OVER PRA 13.5 (STANDARD) [id:10116511] | Evan Mobley OVER PTS 11.5 (STANDARD) [id:10111145],0.4358770905090816,10.0,1.0,10.0,4.358770905090815,10.0,atlas,0.8128999335239526,0.062153363637664646,Reed Sheppard OVER PTS 9.5 (GOBLIN) [id:10105433] | Scotty Pippen OVER PR 9.5 (GOBLIN) [id:10112948] | Tim Hardaway OVER PRA 13.5 (STANDARD) [id:10116511] | Evan Mobley OVER PTS 11.5 (STANDARD) [id:10111145],0.0,0.054,0.0006215336363766464,0.054621533636376646,43.53308751727178,"['reed sheppard', 'scotty pippen', 'tim hardaway', 'evan mobley']",1,Reed Sheppard OVER PTS 9.5 (GOBLIN) [id:10105433],Scotty Pippen OVER PR 9.5 (GOBLIN) [id:10112948],Tim Hardaway OVER PRA 13.5 (STANDARD) [id:10116511],Evan Mobley OVER PTS 11.5 (STANDARD) [id:10111145],0,
4,Bobby Portis OVER PTS 5.5 (GOBLIN) [id:10114216] | Jaylen Wells OVER PTS 7.5 (GOBLIN) [id:10113013] | De'Anthony Melton UNDER PR 23.5 (STANDARD) [id:10109833] | Evan Mobley OVER PR 18.5 (STANDARD) [id:10111148],0.4283756055562597,10.0,1.0,10.0,4.283756055562597,10.0,atlas,0.8111408224336518,0.0647412392731292,Bobby Portis OVER PTS 5.5 (GOBLIN) [id:10114216] | Jaylen Wells OVER PTS 7.5 (GOBLIN) [id:10113013] | De'Anthony Melton UNDER PR 23.5 (STANDARD) [id:10109833] | Evan Mobley OVER PR 18.5 (STANDARD) [id:10111148],0.0,0.054,0.000647412392731292,0.05464741239273129,42.78291314323324,"['bobby portis', 'jaylen wells', ""de'anthony melton"", 'evan mobley']",1,Bobby Portis OVER PTS 5.5 (GOBLIN) [id:10114216],Jaylen Wells OVER PTS 7.5 (GOBLIN) [id:10113013],De'Anthony Melton UNDER PR 23.5 (STANDARD) [id:10109833],Evan Mobley OVER PR 18.5 (STANDARD) [id:10111148],0,
4,Ausar Thompson OVER PTS 6.5 (GOBLIN) [id:10113864] | Tim Hardaway OVER PTS 7.5 (GOBLIN) [id:10113544] | De'Anthony Melton UNDER PA 22.5 (STANDARD) [id:10109832] | Dorian Finney-Smith UNDER PR 9.5 (STANDARD) [id:10106774],0.4279811171843921,10.0,1.0,10.0,4.279811171843921,10.0,atlas,0.8107616522009551,0.06584070390590904,Ausar Thompson OVER PTS 6.5 (GOBLIN) [id:10113864] | Tim Hardaway OVER PTS 7.5 (GOBLIN) [id:10113544] | De'Anthony Melton UNDER PA 22.5 (STANDARD) [id:10109832] | Dorian Finney-Smith UNDER PR 9.5 (STANDARD) [id:10106774],0.0,0.054,0.0006584070390590904,0.05465840703905909,42.74345331140015,"['ausar thompson', 'tim hardaway', ""de'anthony melton"", 'dorian finney-smith']",1,Ausar Thompson OVER PTS 6.5 (GOBLIN) [id:10113864],Tim Hardaway OVER PTS 7.5 (GOBLIN) [id:10113544],De'Anthony Melton UNDER PA 22.5 (STANDARD) [id:10109832],Dorian Finney-Smith UNDER PR 9.5 (STANDARD) [id:10106774],0,
4,Bruce Brown OVER PR 7.5 (GOBLIN) [id:10112763] | Nikola Jokić OVER PRA 44.5 (GOBLIN) [id:10112722] | Gui Santos UNDER PR 21.5 (STANDARD) [id:10109909] | Moses Moody UNDER PRA 24.5 (STANDARD) [id:10109967],0.41979788445828853,10.0,1.0,10.0,4.197978844582885,10.0,atlas,0.8052230870936166,0.07865753560255716,Bruce Brown OVER PR 7.5 (GOBLIN) [id:10112763] | Nikola Jokić OVER PRA 44.5 (GOBLIN) [id:10112722] | Gui Santos UNDER PR 21.5 (STANDARD) [id:10109909] | Moses Moody UNDER PRA 24.5 (STANDARD) [id:10109967],0.02,0.054,0.0007865753560255716,0.07478657535602556,41.90500187047282,"['bruce brown', 'nikola jokić', 'gui santos', 'moses moody']",1,Bruce Brown OVER PR 7.5 (GOBLIN) [id:10112763],Nikola Jokić OVER PRA 44.5 (GOBLIN) [id:10112722],Gui Santos UNDER PR 21.5 (STANDARD) [id:10109909],Moses Moody UNDER PRA 24.5 (STANDARD) [id:10109967],0,
4,Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10105396] | Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10114884] | Tim Hardaway OVER PTS 10.5 (STANDARD) [id:10109717] | Pat Spencer UNDER PA 17.5 (STANDARD) [id:10109995],0.41515591221546244,10.0,1.0,10.0,4.151559122154625,10.0,atlas,0.8054348487735052,0.06953192306990033,Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10105396] | Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10114884] | Tim Hardaway OVER PTS 10.5 (STANDARD) [id:10109717] | Pat Spencer UNDER PA 17.5 (STANDARD) [id:10109995],0.01,0.054,0.0006953192306990033,0.064695319230699,41.450895902315544,"['jabari smith', 'jonas valančiūnas', 'tim hardaway', 'pat spencer']",1,Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10105396],Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10114884],Tim Hardaway OVER PTS 10.5 (STANDARD) [id:10109717],Pat Spencer UNDER PA 17.5 (STANDARD) [id:10109995],0,
